"Year","hs","QTY"
2014,"380891130",0
2014,"380891190",63.735
2014,"380891210",0
2014,"380891290",0
2014,"380891910",0
2014,"380891920",42.051
2014,"380891930",0
2014,"380891990",3115.172
2014,"380892210",0
2014,"380892290",0
2014,"380892990",20
2014,"380893190",87.077
2014,"380893210",0
2014,"380893290",0
2014,"380893910",0
2014,"380893990",680.608
2014,"380894110",0
2014,"380894190",4565.875
2014,"380894910",0
2014,"380894990",262.156
2014,"380899190",0
2014,"380899910",0
2014,"380899990",0
2014,"380850900",0
2014,"030119000",0
2014,"030199000",0
2014,"030211000",0
2014,"030213000",0
2014,"030214000",0
2014,"030219000",0
2014,"030231000",0
2014,"030239000",0
2014,"030243000",0
2014,"030271000",0
2014,"030279000",0
2014,"030289000",0
2014,"030311000",0
2014,"030313000",0
2014,"030319000",0
2014,"030323000",0
2014,"030324000",0
2014,"030339000",0
2014,"030349000",0
2014,"030351000",0
2014,"030353000",0
2014,"030354000",0
2014,"030355000",0
2014,"030366000",0
2014,"030367000",0
2014,"030369000",0
2014,"030389000",0
2014,"030390000",0
2014,"030431000",0
2014,"030449000",0
2014,"030459000",0
2014,"030461000",0
2014,"030462000",0
2014,"030471000",0
2014,"030474000",0
2014,"030475000",0
2014,"030481000",0
2014,"030482000",0
2014,"030487000",0
2014,"030489000",0
2014,"030499000",0
2014,"030541000",0
2014,"030542000",0
2014,"030543000",0
2014,"030549000",0
2014,"030551000",0
2014,"030559000",0
2014,"030561000",0
2014,"030562000",0
2014,"030563000",0
2014,"030569000",0
2014,"030612000",0
2014,"030614000",0
2014,"030617000",0
2014,"030619000",0
2014,"030622000",0
2014,"030624000",0
2014,"030627000",0
2014,"030629000",0
2014,"030711000",0
2014,"030721000",0
2014,"030729000",0
2014,"030731000",0
2014,"030739000",0
2014,"030741000",0
2014,"030749000",0
2014,"030751000",0
2014,"030759000",0
2014,"030791000",0
2014,"030799000",0
2014,"030890000",0
2014,"160411000",0
2014,"160412000",0
2014,"160413000",0
2014,"160414000",0
2014,"160415000",0
2014,"160416000",0
2014,"160419000",0
2014,"160420100",0
2014,"160420900",0
2014,"160431000",0
2014,"160432000",0
2014,"160510000",0
2014,"160529000",0
2014,"160540000",0
2014,"160552000",0
2014,"160553000",0
2014,"160554000",0
2014,"160555000",0
2014,"160559000",0
2014,"160569000",0
